MWG_GC		K	
47_Tuc      -11.790
NGC_362     -10.694
NGC_1261     -9.452
Eridanus_4   -5.140
Pal_2       -13.515
NGC_1851    -10.591
NGC_2298     -8.825
NGC_2419    -11.687
NGC_2808    -11.687
NGC_4147     -7.633
NGC_4833    -11.347
M_53        -10.284
NGC_5286    -11.046
NGC_5694     -9.991
IC_4499      -9.083
NGC_5824    -11.339
NGC_5927    -11.183
NGC_5946    -10.845
NGC_5986    -11.418
M_80        -10.160
M_4         -10.091
NGC_6101     -8.662
NGC_6144     -9.497
NGC_6139    -12.647
M_107       -10.019
M_13        -10.206
NGC_6229    -10.388
NGC_6235     -8.359
NGC_6256    -10.374
M_62        -12.318
M_19        -12.279
NGC_6284    -10.775
NGC_6287    -10.706
NGC_6304    -11.042
NGC_6316    -12.452
NGC_6325    -10.481
M_9         -10.611
NGC_6342     -9.825
NGC_6356    -11.740
NGC_6355    -11.163
NGC_6366     -8.558
Ton_1       -12.693
NGC_6388    -13.509
NGC_6401    -10.578
NGC_6440    -14.205
NGC_6441    -13.294
NGC_6453    -10.922
NGC_6496     -9.227
NGC_6517    -13.340
NGC_6539    -12.565
NGC_6544    -11.478
NGC_6553    -12.360
Pal_7       -10.584
NGC_6569    -10.962
M_28        -10.557
M_69         -9.803
Pal_8        -8.478
M_54        -12.717
NGC_6723    -10.229
Be42_19      -6.700
NGC_6760    -11.649
M_55         -9.199
M_75        -10.929
NGC_7006     -9.696
M_2         -10.682
M_30         -8.759
Pal_12       -6.970
NGC_7492     -7.365
2MASS_GC01  -10.210
2MASS_GC02  -12.667
NGC_288      -7.741
M_79         -9.372
omega_Cen   -11.747
NGC_5466     -7.273
NGC_5634     -9.088
NGC_5897     -8.000
NGC_6293     -9.253
M_92         -7.190
NGC_6642     -8.730
NGC_6652     -8.079
Pal_9        -7.509
